Filename,City,M0_IoU,M2_IoU
dunedin_0.tif,dunedin,0.825672,0.842438
dunedin_1.tif,dunedin,0.769925,0.879722
dunedin_10.tif,dunedin,0.781435,0.864336
dunedin_100.tif,dunedin,0.723167,0.815964
dunedin_1000.tif,dunedin,0.772577,0.796157
dunedin_1001.tif,dunedin,0.000000,0.882386
dunedin_1002.tif,dunedin,0.858747,0.832780
dunedin_1003.tif,dunedin,0.646266,0.788577
dunedin_1004.tif,dunedin,0.677144,0.770041
dunedin_1005.tif,dunedin,0.804771,0.845559
dunedin_1006.tif,dunedin,0.811191,0.830922
dunedin_1007.tif,dunedin,0.833185,0.846346
dunedin_1008.tif,dunedin,0.785999,0.848675
dunedin_1009.tif,dunedin,0.884422,0.894303
dunedin_101.tif,dunedin,0.799136,0.821176
dunedin_1010.tif,dunedin,0.820238,0.837825
dunedin_1011.tif,dunedin,0.812386,0.836766
dunedin_1012.tif,dunedin,0.697682,0.744137
dunedin_1013.tif,dunedin,0.753088,0.774793
dunedin_1014.tif,dunedin,0.710772,0.833330
dunedin_1015.tif,dunedin,0.733955,0.624792
dunedin_1016.tif,dunedin,0.860572,0.869402
dunedin_1017.tif,dunedin,0.854241,0.854158
dunedin_1018.tif,dunedin,0.858041,0.872234
dunedin_1019.tif,dunedin,0.814563,0.834842
dunedin_102.tif,dunedin,0.840859,0.870223
dunedin_1020.tif,dunedin,0.817216,0.892133
dunedin_1021.tif,dunedin,0.899266,0.927123
dunedin_1022.tif,dunedin,0.904485,0.846431
dunedin_1023.tif,dunedin,0.904265,0.896169
dunedin_1024.tif,dunedin,0.845458,0.848933
dunedin_1025.tif,dunedin,0.846649,0.842033
dunedin_1026.tif,dunedin,0.856610,0.854221
dunedin_1027.tif,dunedin,0.820947,0.847365
dunedin_1028.tif,dunedin,0.853428,0.857529
dunedin_1029.tif,dunedin,0.827454,0.840617
dunedin_103.tif,dunedin,0.818551,0.735803
dunedin_1030.tif,dunedin,0.833964,0.838297
dunedin_1031.tif,dunedin,0.883021,0.870945
dunedin_1032.tif,dunedin,0.842495,0.852600
dunedin_1033.tif,dunedin,0.871867,0.876813
dunedin_1034.tif,dunedin,0.859583,0.861402
dunedin_1035.tif,dunedin,0.857683,0.844241
dunedin_1036.tif,dunedin,0.831497,0.842244
dunedin_1037.tif,dunedin,0.839754,0.865007
dunedin_1038.tif,dunedin,0.901650,0.830848
dunedin_1039.tif,dunedin,0.835709,0.840291
dunedin_104.tif,dunedin,0.779445,0.572053
dunedin_1040.tif,dunedin,0.910694,0.931347
dunedin_1041.tif,dunedin,0.844563,0.800410
dunedin_1042.tif,dunedin,0.800288,0.842225
dunedin_1043.tif,dunedin,0.838956,0.863574
dunedin_1044.tif,dunedin,0.804139,0.807392
dunedin_1045.tif,dunedin,0.926530,0.952778
dunedin_1046.tif,dunedin,0.694802,0.739035
dunedin_1047.tif,dunedin,1.000000,1.000000
dunedin_1048.tif,dunedin,1.000000,0.000000
dunedin_1049.tif,dunedin,1.000000,1.000000
dunedin_105.tif,dunedin,0.840885,0.870218
