image_name,region_prefix,seed,model,mIoU,F1,Boundary_IoU
dunedin_0,Dunedin,456,DeepLabv3+ ResNet50,0.8394228437477984,0.9127024235899972,0.5655302583478214
dunedin_1,Dunedin,456,DeepLabv3+ ResNet50,0.8399957721174506,0.9130409806873623,0.5236076930110126
dunedin_10,Dunedin,456,DeepLabv3+ ResNet50,0.8413785575904129,0.9138572338881851,0.5914356943853378
dunedin_100,Dunedin,456,DeepLabv3+ ResNet50,0.8078670883782024,0.8937239839934571,0.4864734299552348
dunedin_1000,Dunedin,456,DeepLabv3+ ResNet50,0.8498149582586719,0.9188107756015474,0.47117863720560604
dunedin_1001,Dunedin,456,DeepLabv3+ ResNet50,0.4473791142036823,0.6181920269618699,0.18739542670455128
dunedin_1002,Dunedin,456,DeepLabv3+ ResNet50,0.8409433106578849,0.9136004414576835,0.5301230835689552
dunedin_1003,Dunedin,456,DeepLabv3+ ResNet50,0.8217391304372046,0.9021479713611117,0.5648402792560855
dunedin_1004,Dunedin,456,DeepLabv3+ ResNet50,0.7318974428500925,0.8451972094208029,0.5173901786498738
dunedin_1005,Dunedin,456,DeepLabv3+ ResNet50,0.842819778303845,0.9147066774804578,0.5939222106868582
dunedin_1006,Dunedin,456,DeepLabv3+ ResNet50,0.8415524279536446,0.9139597821700199,0.5678475935837374
dunedin_1007,Dunedin,456,DeepLabv3+ ResNet50,0.8557538371155824,0.9222708529549721,0.5928435210288245
dunedin_1008,Dunedin,456,DeepLabv3+ ResNet50,0.83146634836129,0.9079788434061883,0.5509648063378059
dunedin_1009,Dunedin,456,DeepLabv3+ ResNet50,0.7949585466965527,0.885768140060307,0.5293294134150264
dunedin_101,Dunedin,456,DeepLabv3+ ResNet50,0.8692987500380296,0.9300800634679625,0.608141097732649
dunedin_1010,Dunedin,456,DeepLabv3+ ResNet50,0.875665954053834,0.9337120526831174,0.5950051493331938
dunedin_1011,Dunedin,456,DeepLabv3+ ResNet50,0.8786531405142298,0.9354075231509561,0.6624073794067563
dunedin_1012,Dunedin,456,DeepLabv3+ ResNet50,0.822822822823617,0.9028006589788222,0.5284371146768769
dunedin_1013,Dunedin,456,DeepLabv3+ ResNet50,0.7558463991504257,0.8609482008402495,0.47700372912783334
dunedin_1014,Dunedin,456,DeepLabv3+ ResNet50,0.6769287314483392,0.8073434711366857,0.4679411318480718
dunedin_1015,Dunedin,456,DeepLabv3+ ResNet50,0.818299463191055,0.9000711706252469,0.512580363524783
dunedin_1016,Dunedin,456,DeepLabv3+ ResNet50,0.8756003666365697,0.9336747659168175,0.6218289533675996
dunedin_1017,Dunedin,456,DeepLabv3+ ResNet50,0.8423599939503604,0.9144358287373859,0.570229792437772
dunedin_1018,Dunedin,456,DeepLabv3+ ResNet50,0.813001295444154,0.896856827942764,0.5779384351867148
dunedin_1019,Dunedin,456,DeepLabv3+ ResNet50,0.8280136201632065,0.9059162481395581,0.5360200184392572
dunedin_102,Dunedin,456,DeepLabv3+ ResNet50,0.887669906352357,0.940492724247125,0.6049323746804642
dunedin_1020,Dunedin,456,DeepLabv3+ ResNet50,0.48479422119860144,0.6530119989377711,0.32156900355498635
dunedin_1021,Dunedin,456,DeepLabv3+ ResNet50,0.7932911024835253,0.8847321010903764,0.39155488683487033
dunedin_1022,Dunedin,456,DeepLabv3+ ResNet50,0.8468933641467852,0.917100446173266,0.4084049222216047
dunedin_1023,Dunedin,456,DeepLabv3+ ResNet50,0.8884627814285377,0.9409375606083414,0.5701858130316955
dunedin_1024,Dunedin,456,DeepLabv3+ ResNet50,0.8313674503393409,0.9079198717714809,0.5785950088889383
dunedin_1025,Dunedin,456,DeepLabv3+ ResNet50,0.8376436612941107,0.9116497163592326,0.6007693659573123
dunedin_1026,Dunedin,456,DeepLabv3+ ResNet50,0.8465320708455976,0.9168885655561715,0.5746670755222213
dunedin_1027,Dunedin,456,DeepLabv3+ ResNet50,0.8406632081130365,0.9134351188284895,0.5515201962683968
dunedin_1028,Dunedin,456,DeepLabv3+ ResNet50,0.8484627676575922,0.9180198622369097,0.5669317724865579
dunedin_1029,Dunedin,456,DeepLabv3+ ResNet50,0.8589217367211186,0.9241074755907392,0.5862269760042103
dunedin_103,Dunedin,456,DeepLabv3+ ResNet50,0.8510920271424348,0.9195566883360934,0.49388171312606066
dunedin_1030,Dunedin,456,DeepLabv3+ ResNet50,0.8395810671354704,0.9127959426575042,0.5841463689426012
dunedin_1031,Dunedin,456,DeepLabv3+ ResNet50,0.8763555285295982,0.9341039213568556,0.6249664729556885
dunedin_1032,Dunedin,456,DeepLabv3+ ResNet50,0.8550013590651604,0.9218336740151938,0.5664468128818348
