model,region_prefix,num_seeds,N_mean,mIoU,mIoU_seed_std,F1,F1_seed_std,Boundary_IoU,Boundary_IoU_seed_std
HL-Residual (Ours),dunedin,3,1312.0,0.8403800501490645,0.0005577589463887212,0.898936103281721,0.0024898530606768257,0.5530174909857378,0.025934031366571925
HL-Residual (Ours),khartoum,3,905.0,0.6155439629694377,0.004250294273272445,0.7458748830400749,0.00287785868760453,0.2881447842837581,0.018648972631048442
HL-Residual (Ours),kitsap,3,3600.0,0.8143613352139889,0.006360339971808779,0.8774720428145893,0.00620919371151858,0.6090729857524835,0.011465118547836153
HL-Residual (Ours),potsdam,3,1176.0,0.5300196903622836,0.051824368381657014,0.6385456293255936,0.0495598170035795,0.17881951206798388,0.011672760494176275
HL-Residual (Ours),wuxi,3,1409.0,0.7757911681765853,0.0007088726750714284,0.8480246086210866,0.001640594478428918,0.352791601943017,0.014925755367090012
Prompt-free LoRA,dunedin,3,1312.0,0.8306669195828585,0.008832105898694865,0.8936027626471931,0.002818303089635283,0.5213522543537802,0.05185018720502941
Prompt-free LoRA,khartoum,3,905.0,0.5964554224217792,0.030566141722637313,0.7301824363232242,0.024842188048352722,0.2646715152382855,0.031553082834222985
Prompt-free LoRA,kitsap,3,3600.0,0.8005202331558331,0.010571975754617978,0.8683954965957446,0.005506243040337821,0.5770552364747427,0.037103669604886334
Prompt-free LoRA,potsdam,3,1176.0,0.5294685900959445,0.056801853039491194,0.6378964644202686,0.05383055617357535,0.17312791874043465,0.0039499522602588315
Prompt-free LoRA,wuxi,3,1409.0,0.7683657292447403,0.007222363782362398,0.8429236914867814,0.0031778421208728197,0.33372740145625385,0.03099810454118824
