model,seed,region_prefix,N,mIoU,mIoU_std,F1,F1_std,Boundary_IoU,Boundary_IoU_std
HL-Residual (Ours),42,dunedin,1312,0.8410164742331262,0.16442579409579436,0.8996840374629527,0.15959113390896035,0.5469370774624902,0.20728563443514397
HL-Residual (Ours),42,khartoum,905,0.6198730671187477,0.17323879684633028,0.7470613811273309,0.17462464869257927,0.26822724283690963,0.09219899167895826
HL-Residual (Ours),42,kitsap,3600,0.8091222881935323,0.2069387947130457,0.8733101740999426,0.19066527030287794,0.5980943912018236,0.2735982746418022
HL-Residual (Ours),42,potsdam,1176,0.5897912093391321,0.27334781825178994,0.6956234559894413,0.2758709081946764,0.1910435967305753,0.26251852392910774
HL-Residual (Ours),42,wuxi,1409,0.7756464180498309,0.21142575036834302,0.8499117063633495,0.20393229497649487,0.33755973411491985,0.24135903677089632
HL-Residual (Ours),123,dunedin,1312,0.8401473853524376,0.1805503895991446,0.8961580117955776,0.17614255479587312,0.5814515043045138,0.2024910435885677
HL-Residual (Ours),123,khartoum,905,0.6113771261104094,0.1677005564589583,0.7425934678292384,0.15929801343062996,0.3051924785663977,0.09619791471392128
HL-Residual (Ours),123,kitsap,3600,0.8125234812110295,0.21070422113638104,0.8744969685535761,0.1949880314551679,0.6209694500761354,0.26397965116938354
HL-Residual (Ours),123,potsdam,1176,0.49762608367798106,0.29264157525817663,0.6064336586295773,0.3038854043507009,0.16778993446220866,0.23671770711560966
HL-Residual (Ours),123,wuxi,1409,0.7765612437631574,0.2248843861140753,0.8469371958350519,0.21991379821195603,0.3673911470381631,0.22836530173441477
HL-Residual (Ours),456,dunedin,1312,0.8399762908616294,0.1550611402623717,0.9009662605866328,0.14671250951080242,0.5306638911902093,0.21214880481660434
HL-Residual (Ours),456,khartoum,905,0.615381695679156,0.15634290588722577,0.7479698001636553,0.14721185502230216,0.2910146314479671,0.0911789251307857
HL-Residual (Ours),456,kitsap,3600,0.821438236237405,0.1906507380303041,0.8846089857902495,0.17115583509973864,0.6081551159794912,0.26697485868009674
HL-Residual (Ours),456,potsdam,1176,0.5026417780697378,0.2881122112763361,0.6135797733577618,0.2959047190470819,0.1776250050111677,0.2529981703288812
HL-Residual (Ours),456,wuxi,1409,0.7751658427167677,0.21966542878964004,0.8472249236648585,0.21537535815096176,0.3534239246759681,0.22998078844948647
Prompt-free LoRA,42,dunedin,1312,0.8229350265883225,0.15585133417926045,0.8906433347086158,0.14701604063358392,0.48337158491145416,0.2246022647100756
Prompt-free LoRA,42,khartoum,905,0.6175412701015028,0.16613745022063142,0.7469410144653411,0.16545104469848992,0.24485120877091496,0.08051699923427322
Prompt-free LoRA,42,kitsap,3600,0.7942187075140053,0.2060325125061446,0.864535408224515,0.18682075153447225,0.5565839940895362,0.2910735289453733
Prompt-free LoRA,42,potsdam,1176,0.5950492528941393,0.2718040780155969,0.7000108234294274,0.2766633456605419,0.17741021300520152,0.25142657632914445
Prompt-free LoRA,42,wuxi,1409,0.7606916300554055,0.2144420591383787,0.8393634215551782,0.20769884216478218,0.30522242262317395,0.24225024691334057
Prompt-free LoRA,123,dunedin,1312,0.8402921601034027,0.1804327767768085,0.8962547274481402,0.17613516854731998,0.5804242990525772,0.20216817371974596
Prompt-free LoRA,123,khartoum,905,0.6104243179866246,0.16703502443826634,0.7419649143131313,0.15881105666194595,0.30105738612037397,0.09582956295737312
Prompt-free LoRA,123,kitsap,3600,0.8127255391620917,0.2103662404845447,0.8747008694254719,0.1946075401725187,0.6198850055247936,0.26420136343197126
Prompt-free LoRA,123,potsdam,1176,0.4957655654668705,0.2925072171055224,0.6048184975400744,0.3034445485419077,0.16962714308129015,0.2381086688212836
Prompt-free LoRA,123,wuxi,1409,0.7750300902529185,0.22661445813301373,0.8454732671948012,0.22193240389843463,0.36672774732201713,0.22719078626760422
Prompt-free LoRA,456,dunedin,1312,0.8287735720568504,0.15739372657679065,0.8939102257848233,0.148624659300264,0.5002608790973091,0.21931725419348008
Prompt-free LoRA,456,khartoum,905,0.5614006791772105,0.16868823624084617,0.7016413801912,0.16527320829864914,0.24810595082356754,0.08388173178388451
Prompt-free LoRA,456,kitsap,3600,0.7946164527914026,0.20183540682011222,0.8659502121372464,0.18020158907002454,0.5546967098098984,0.29121048120636167
Prompt-free LoRA,456,potsdam,1176,0.49759095192682345,0.28834318312148904,0.6088600722913038,0.29589341279525,0.1723464001348123,0.25590700853668324
Prompt-free LoRA,456,wuxi,1409,0.7693754674258971,0.21795735735551106,0.8439343857103645,0.21323038504492925,0.3292320344235704,0.23198161006857973
