region_prefix,model,mIoU_pct,F1_pct,Boundary_IoU_pct
dunedin,HL-Residual (Ours),83.94090072989384,89.84259106139484,55.12893494395298
dunedin,Prompt-free LoRA,83.00170490142548,89.34273250102633,52.00747707491479
khartoum,HL-Residual (Ours),61.60490992984503,74.64357248467076,28.87051595412024
khartoum,Prompt-free LoRA,59.70967510298061,73.10368574142927,26.535396338107237
kitsap,HL-Residual (Ours),81.53166023171258,87.8636642420197,60.9762330233554
kitsap,Prompt-free LoRA,80.12182437364115,86.93184331066242,57.74546214018146
potsdam,HL-Residual (Ours),53.21871614303553,64.15684994970383,17.92426562884946
potsdam,Prompt-free LoRA,53.188879195961924,64.11567154004058,17.358429197757992
wuxi,HL-Residual (Ours),77.71037900055971,84.91066617410713,35.11829230909323
wuxi,Prompt-free LoRA,76.95599902663156,84.38914799347911,33.17765392926245
