image_id,region,mIoU,F1,Boundary_IoU
dunedin_0,Dunedin,0.7582899372037099,0.8625311686757668,0.46147059951877
dunedin_1,Dunedin,0.7895788912584631,0.8824186462135647,0.4596696290597968
dunedin_10,Dunedin,0.8235071255797409,0.9032124021097919,0.5425942573129787
dunedin_100,Dunedin,0.6409904238692115,0.7812238445090179,0.3541860298895103
dunedin_1000,Dunedin,0.7581157927741096,0.8624185004078484,0.41600721226669324
dunedin_1001,Dunedin,0.07482993202120199,0.13924050637102045,0.08025568188350456
dunedin_1002,Dunedin,0.6219579488162459,0.7669224091413072,0.3427400677023241
dunedin_1003,Dunedin,0.7626056543316437,0.8653162463839164,0.4312941176604402
dunedin_1004,Dunedin,0.7343974775845218,0.8468617915740503,0.45338514516964146
dunedin_1005,Dunedin,0.8064755217478623,0.8928717959792605,0.5198645091527335
dunedin_1006,Dunedin,0.7221912602916755,0.8386887994882297,0.45627662736657826
dunedin_1007,Dunedin,0.8115615729827161,0.8959801147099956,0.49043663796517456
dunedin_1008,Dunedin,0.6969814183916316,0.8214367120791284,0.33770692500309335
dunedin_1009,Dunedin,0.8138171801940497,0.897353039854678,0.4171586850396008
dunedin_101,Dunedin,0.7913844908383675,0.8835450958581305,0.4794891222007807
dunedin_1010,Dunedin,0.7633161666735214,0.8657734569669013,0.47076689446044817
dunedin_1011,Dunedin,0.7384781283710513,0.8495685005397801,0.4763047855081593
dunedin_1012,Dunedin,0.5513343217218711,0.7107872416685259,0.40435581212801225
dunedin_1013,Dunedin,0.6567978331214476,0.7928521150750599,0.3275645998727244
dunedin_1014,Dunedin,0.7036308013382417,0.8260367220237119,0.3757295535534915
dunedin_1015,Dunedin,0.3100882652503392,0.473385303073974,0.1341498476273121
dunedin_1016,Dunedin,0.5504013343078272,0.7100114301088998,0.260494640402057
dunedin_1017,Dunedin,0.6848229008644748,0.8129316149643645,0.33662665758337273
dunedin_1018,Dunedin,0.6726989300649434,0.8043275666335087,0.4320586438621086
dunedin_1019,Dunedin,0.6799849473982231,0.80951314290185,0.3979124507418311
dunedin_102,Dunedin,0.8171934138523455,0.8994016901259638,0.48052957666969653
dunedin_1020,Dunedin,0.5524320208155838,0.7116988227605631,0.1480886604652737
dunedin_1021,Dunedin,0.7561704211559684,0.861158361451236,0.29284238339049207
dunedin_1022,Dunedin,0.8434781457306469,0.9150942718621548,0.36396718274657947
dunedin_1023,Dunedin,0.7265593929038873,0.8416268746849275,0.385666699325498
dunedin_1024,Dunedin,0.7490510990259616,0.8565228305142177,0.5217391304359628
dunedin_1025,Dunedin,0.7242951014778822,0.8401057346355532,0.45128527408479713
dunedin_1026,Dunedin,0.8032771306782286,0.8909081327682948,0.4786305560565984
dunedin_1027,Dunedin,0.6790581886964855,0.8088560518840987,0.3762884267645202
dunedin_1028,Dunedin,0.7900101802030884,0.88268791869483,0.4639743650170492
