image_id,method,model_name,seed,tp,fp,fn,pred_area,gt_area,iou,f1
dunedin_0,Prompt-free LoRA,lora_light,42,41874,7042,1152,48916,43026,0.8363425740992251,0.910878597376607
dunedin_1,Prompt-free LoRA,lora_light,42,41028,5118,2175,46146,43203,0.8490718321226796,0.9183762549105194
dunedin_10,Prompt-free LoRA,lora_light,42,31820,5533,843,37353,32663,0.8330715258142214,0.9089351005484461
dunedin_100,Prompt-free LoRA,lora_light,42,22525,4156,1264,26681,23789,0.806047593487207,0.8926094709728551
dunedin_1000,Prompt-free LoRA,lora_light,42,19996,3755,804,23751,20800,0.8143351659539808,0.8976678413503625
dunedin_1001,Prompt-free LoRA,lora_light,42,1528,142,68,1670,1596,0.8791714614499425,0.9357011635027557
dunedin_1002,Prompt-free LoRA,lora_light,42,47785,6930,2400,54715,50185,0.83664536461525,0.9110581506196378
dunedin_1003,Prompt-free LoRA,lora_light,42,6308,995,351,7303,6659,0.8241442383067678,0.9035954734278757
dunedin_1004,Prompt-free LoRA,lora_light,42,44054,11287,2518,55341,46572,0.7614027204065055,0.8645413244630223
dunedin_1005,Prompt-free LoRA,lora_light,42,68521,10987,3375,79508,71896,0.8267195926788364,0.9051412115928245
dunedin_1006,Prompt-free LoRA,lora_light,42,68574,11610,4690,80184,73264,0.807950609138252,0.8937750899327459
dunedin_1007,Prompt-free LoRA,lora_light,42,59170,9095,2851,68265,62021,0.8320209235615051,0.9083094116021675
dunedin_1008,Prompt-free LoRA,lora_light,42,53581,6631,2681,60212,56262,0.8519390075207097,0.9200508267939626
dunedin_1009,Prompt-free LoRA,lora_light,42,27370,3691,350,31061,27720,0.8713508006749228,0.9312532961331043
dunedin_101,Prompt-free LoRA,lora_light,42,56814,8570,4864,65384,61678,0.8087632388110694,0.8942720876422534
dunedin_1010,Prompt-free LoRA,lora_light,42,25627,4532,585,30159,26212,0.8335610200364298,0.9092263752638768
dunedin_1011,Prompt-free LoRA,lora_light,42,20504,4840,353,25344,20857,0.797914153403121,0.8875998355013961
dunedin_1012,Prompt-free LoRA,lora_light,42,17489,3794,3442,21283,20931,0.7073407482305359,0.8285876723361918
