image_id,method,model_name,seed,tp,fp,fn,pred_area,gt_area,iou,f1
dunedin_0,HL-Residual,hl_residual_v2,456,41619,5798,1407,47417,43026,0.8524291332131738,0.9203365655716861
dunedin_1,HL-Residual,hl_residual_v2,456,40682,4132,2521,44814,43203,0.8594486109644026,0.9244123294363589
dunedin_10,HL-Residual,hl_residual_v2,456,31621,4752,1042,36373,32663,0.8451423225978886,0.9160727736253549
dunedin_100,HL-Residual,hl_residual_v2,456,22478,3584,1311,26062,23789,0.8211741497095678,0.9018073860103107
dunedin_1000,HL-Residual,hl_residual_v2,456,19843,3107,957,22950,20800,0.8300079474630861,0.9071085714285714
dunedin_1001,HL-Residual,hl_residual_v2,456,1518,111,78,1629,1596,0.8892794376098418,0.9413953488372093
dunedin_1002,HL-Residual,hl_residual_v2,456,47446,5923,2739,53369,50185,0.8456191630427033,0.9163528207505263
dunedin_1003,HL-Residual,hl_residual_v2,456,6214,758,445,6972,6659,0.8378050424700013,0.9117452864793485
dunedin_1004,HL-Residual,hl_residual_v2,456,43636,9724,2936,53360,46572,0.7751172374591445,0.8733138534203259
dunedin_1005,HL-Residual,hl_residual_v2,456,67835,8959,4061,76794,71896,0.8389709974645971,0.9124352680072635
dunedin_1006,HL-Residual,hl_residual_v2,456,67868,9802,5396,77670,73264,0.8170370548720295,0.8993069818596208
dunedin_1007,HL-Residual,hl_residual_v2,456,58515,7534,3506,66049,62021,0.8412766875134785,0.913797142187866
dunedin_1008,HL-Residual,hl_residual_v2,456,52973,5471,3289,58444,56262,0.8580985858454959,0.9236308475581051
dunedin_1009,HL-Residual,hl_residual_v2,456,27242,3003,478,30245,27720,0.8866972626371122,0.9399465194513931
dunedin_101,HL-Residual,hl_residual_v2,456,56405,6923,5273,63328,61678,0.8222183350096938,0.9024366830392141
dunedin_1010,HL-Residual,hl_residual_v2,456,25425,3666,787,29091,26212,0.8509605729968539,0.9194799558794279
dunedin_1011,HL-Residual,hl_residual_v2,456,20385,3994,472,24379,20857,0.8202889219749708,0.9012733221328145
dunedin_1012,HL-Residual,hl_residual_v2,456,17314,3142,3617,20456,20931,0.7192290117559091,0.8366878488414237
dunedin_1013,HL-Residual,hl_residual_v2,456,22603,4974,3046,27577,25649,0.7381053456552265,0.8493217600420847
dunedin_1014,HL-Residual,hl_residual_v2,456,37987,8374,3067,46361,41054,0.7685320061503601,0.8691185723274037
dunedin_1015,HL-Residual,hl_residual_v2,456,16801,5872,791,22673,17592,0.7160330719399932,0.8345212964112753
dunedin_1016,HL-Residual,hl_residual_v2,456,24918,2912,1409,27830,26327,0.8522179281097165,0.9202134534778514
dunedin_1017,HL-Residual,hl_residual_v2,456,61572,7608,3503,69180,65075,0.8471306908080294,0.9172395813936166
dunedin_1018,HL-Residual,hl_residual_v2,456,58776,7557,3259,66333,62035,0.8445798367628463,0.9157422410569612
dunedin_1019,HL-Residual,hl_residual_v2,456,54194,8129,4399,62323,58593,0.8122358442492731,0.8963908829269907
dunedin_102,HL-Residual,hl_residual_v2,456,75843,9458,2812,85301,78655,0.860746995335535,0.9251628485691283
dunedin_1020,HL-Residual,hl_residual_v2,456,28769,1690,2497,30459,31266,0.8729518145405996,0.9321668691778048
dunedin_1021,HL-Residual,hl_residual_v2,456,85029,2599,4951,87628,89980,0.9184480281705354,0.9574906535741633
dunedin_1022,HL-Residual,hl_residual_v2,456,66625,5098,5949,71723,72574,0.857773715109692,0.9234426218147294
dunedin_1023,HL-Residual,hl_residual_v2,456,83335,7627,2865,90962,86200,0.8881771771451714,0.9407773676070489
dunedin_1024,HL-Residual,hl_residual_v2,456,61550,7278,5140,68828,66690,0.8321165909582522,0.9083664162694255
dunedin_1025,HL-Residual,hl_residual_v2,456,70367,10243,4661,80610,75028,0.8252160758053735,0.9042393245865405
dunedin_1026,HL-Residual,hl_residual_v2,456,64790,8270,4206,73060,68996,0.838531825123599,0.9121754800923579
dunedin_1027,HL-Residual,hl_residual_v2,456,63315,8792,3467,72107,66782,0.8377881281922355,0.9117352706117835
dunedin_1028,HL-Residual,hl_residual_v2,456,65705,8881,3692,74586,69397,0.8393801578987711,0.9126771910572776
dunedin_1029,HL-Residual,hl_residual_v2,456,49137,7333,2363,56470,51500,0.8351945336800775,0.9101972770213949
dunedin_103,HL-Residual,hl_residual_v2,456,16412,4004,1248,20416,17660,0.7575701624815362,0.8620653429982141
dunedin_1030,HL-Residual,hl_residual_v2,456,60078,10843,2640,70921,62718,0.8167099414091706,0.899108793091837
dunedin_1031,HL-Residual,hl_residual_v2,456,67149,6609,4249,73758,71398,0.8608073634417424,0.9251977183168453
dunedin_1032,HL-Residual,hl_residual_v2,456,63909,7690,3344,71599,67253,0.8527681037588567,0.920534093855328
dunedin_1033,HL-Residual,hl_residual_v2,456,88800,9546,5033,98346,93833,0.858975227077066,0.9241384334396578
dunedin_1034,HL-Residual,hl_residual_v2,456,70940,8733,4431,79673,75371,0.8434795015694854,0.9150950697866412
dunedin_1035,HL-Residual,hl_residual_v2,456,67053,7390,5982,74443,73035,0.8337332918868511,0.9093288490486716
dunedin_1036,HL-Residual,hl_residual_v2,456,64457,7334,5709,71791,70166,0.8317032258064516,0.908120064526582
dunedin_1037,HL-Residual,hl_residual_v2,456,67158,8107,4072,75265,71230,0.8464902882639878,0.9168640567937473
dunedin_1038,HL-Residual,hl_residual_v2,456,49461,4286,2559,53747,52020,0.8784321386708344,0.9352822714079061
dunedin_1039,HL-Residual,hl_residual_v2,456,65699,8121,5516,73820,71215,0.8281108198043763,0.905974419967594
dunedin_104,HL-Residual,hl_residual_v2,456,18623,2304,3292,20927,21915,0.7689417399562327,0.8693805144484384
dunedin_1040,HL-Residual,hl_residual_v2,456,76406,5249,1449,81655,77855,0.9194021948402002,0.958008902263181
dunedin_1041,HL-Residual,hl_residual_v2,456,41086,5706,1499,46792,42585,0.8508003561740283,0.9193864193248822
dunedin_1042,HL-Residual,hl_residual_v2,456,36280,5056,1854,41336,38134,0.8400092614031026,0.9130489492890399
dunedin_1043,HL-Residual,hl_residual_v2,456,48041,6584,2311,54625,50352,0.8437719544752003,0.9152671537574897
