method,seed,image_id,path,tp,fp,fn,pred_area,gt_area,iou,f1,biou
UNetFormer-style ResNet34,123,dunedin_0,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_0.tif,41571,5882,1455,47453,43026,0.84998364,0.91890936,0.74447327
UNetFormer-style ResNet34,123,dunedin_1,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1.tif,40435,6976,2768,47411,43203,0.80581518,0.89246695,0.63114466
UNetFormer-style ResNet34,123,dunedin_10,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_10.tif,31379,4856,1284,36235,32663,0.83634958,0.91088275,0.71335047
UNetFormer-style ResNet34,123,dunedin_100,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_100.tif,22725,2648,1064,25373,23789,0.85959073,0.92449453,0.70950772
UNetFormer-style ResNet34,123,dunedin_1000,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1000.tif,19728,2544,1072,22272,20800,0.84509938,0.91604755,0.67066912
UNetFormer-style ResNet34,123,dunedin_1001,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1001.tif,1099,698,497,1797,1596,0.47907585,0.64780430,0.31778929
UNetFormer-style ResNet34,123,dunedin_1002,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1002.tif,43288,9035,6897,52323,50185,0.73096927,0.84457798,0.64571604
UNetFormer-style ResNet34,123,dunedin_1003,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1003.tif,6236,506,423,6742,6659,0.87034194,0.93067682,0.79641926
UNetFormer-style ResNet34,123,dunedin_1004,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1004.tif,42677,9524,3895,52201,46572,0.76078508,0.86414304,0.69649612
UNetFormer-style ResNet34,123,dunedin_1005,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1005.tif,68604,7894,3292,76498,71896,0.85980699,0.92461959,0.79266518
UNetFormer-style ResNet34,123,dunedin_1006,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1006.tif,69248,8981,4016,78229,73264,0.84197216,0.91420726,0.76294502
UNetFormer-style ResNet34,123,dunedin_1007,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1007.tif,59191,5099,2830,64290,62021,0.88186830,0.93722637,0.80281480
UNetFormer-style ResNet34,123,dunedin_1008,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1008.tif,54176,6683,2086,60859,56262,0.86068790,0.92512871,0.75187336
UNetFormer-style ResNet34,123,dunedin_101,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_101.tif,56129,5461,5549,61590,61678,0.83601186,0.91068242,0.72803296
UNetFormer-style ResNet34,123,dunedin_1010,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1010.tif,23105,2440,3107,25545,26212,0.80640095,0.89282609,0.73735634
UNetFormer-style ResNet34,123,dunedin_1011,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1011.tif,20564,2418,293,22982,20857,0.88352309,0.93816009,0.80461631
UNetFormer-style ResNet34,123,dunedin_1012,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1012.tif,16697,2379,4234,19076,20931,0.71630202,0.83470393,0.66817478
UNetFormer-style ResNet34,123,dunedin_1013,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1013.tif,22843,3245,2806,26088,25649,0.79057936,0.88304308,0.67877027
UNetFormer-style ResNet34,123,dunedin_1014,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1014.tif,38950,7182,2104,46132,41054,0.80748818,0.89349207,0.69139189
UNetFormer-style ResNet34,123,dunedin_1015,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1015.tif,16473,4681,1119,21154,17592,0.73959503,0.85030713,0.60655738
UNetFormer-style ResNet34,123,dunedin_1016,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1016.tif,24068,2007,2259,26075,26327,0.84943884,0.91859089,0.70958826
UNetFormer-style ResNet34,123,dunedin_1017,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1017.tif,60832,3856,4243,64688,65075,0.88250569,0.93758621,0.78241875
UNetFormer-style ResNet34,123,dunedin_1018,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1018.tif,57332,6433,4703,63765,62035,0.83735468,0.91147854,0.77082414
UNetFormer-style ResNet34,123,dunedin_1019,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1019.tif,49738,3813,8855,53551,58593,0.79700670,0.88703809,0.71220982
UNetFormer-style ResNet34,123,dunedin_102,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_102.tif,74951,6813,3704,81764,78655,0.87694810,0.93444043,0.73684279
UNetFormer-style ResNet34,123,dunedin_1020,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1020.tif,18938,1683,12328,20621,31266,0.57476706,0.72997090,0.40545283
UNetFormer-style ResNet34,123,dunedin_1021,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1021.tif,79207,2333,10773,81540,89980,0.85802650,0.92358909,0.59412713
UNetFormer-style ResNet34,123,dunedin_1022,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1022.tif,64756,13807,7818,78563,72574,0.74965560,0.85691790,0.54253719
UNetFormer-style ResNet34,123,dunedin_1023,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1023.tif,78706,6771,7494,85477,86200,0.84656506,0.91690791,0.67958193
UNetFormer-style ResNet34,123,dunedin_1024,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1024.tif,59638,5184,7052,64822,66690,0.82975763,0.90695906,0.75460622
UNetFormer-style ResNet34,123,dunedin_1025,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1025.tif,67708,7630,7320,75338,75028,0.81913426,0.90057593,0.74647354
UNetFormer-style ResNet34,123,dunedin_1026,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1026.tif,63005,4983,5991,67988,68996,0.85166061,0.91988845,0.75481634
UNetFormer-style ResNet34,123,dunedin_1027,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1027.tif,64150,7096,2632,71246,66782,0.86832345,0.92952155,0.77062323
UNetFormer-style ResNet34,123,dunedin_1028,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1028.tif,64778,5439,4619,70217,69397,0.86559944,0.92795851,0.79310301
UNetFormer-style ResNet34,123,dunedin_1029,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1029.tif,49931,5755,1569,55686,51500,0.87208104,0.93167018,0.79316029
UNetFormer-style ResNet34,123,dunedin_103,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_103.tif,16194,1519,1466,17713,17660,0.84436102,0.91561360,0.69592385
UNetFormer-style ResNet34,123,dunedin_1030,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1030.tif,59409,7547,3309,66956,62718,0.84549918,0.91628237,0.78737737
UNetFormer-style ResNet34,123,dunedin_1031,/path/to/project/data/raw/whu_mix_full_test/test/image/dunedin_1031.tif,68306,5479,3092,73785,71398,0.88851022,0.94096416,0.81047663
